COLL_NOM,COLL_SIRET,COLL_TYPE,ACTE_DATE,ACTE_REF,ATTRIB_NOM,ATTRIB_SIRET,ATTRIB_TYPE,SUB_OBJET,SUB_MONTANT,SUB_NATURE,SUB_DATE_DEBUT,SUB_DATE_FIN,SUB_VERSEMENT,SUB_DISPOSITIF,ID_ENT,NOTIF_EU
Département de la Nièvre,225800010,DEP,2016-01-01,,AFPLI - FOL 58,,,Subvention,26 100,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ANAR,,,Subvention,61 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASEM,,,Subvention,92 550,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Centre Social Intercommunal de Prémery,,,Subvention,14 450,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Centre Socio Culturel Puisaye Forterre,,,Subvention,,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CHAMBRE D'AGRICULTURE DE LA NIEVRE,,,Subvention,70 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,COALLIA,,,Subvention,19 989,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,E2C,,,Subvention,10 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Espace socioculturel du Val de Sauzay,,,Subvention,20 907,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,EUREKA,,,Subvention,25 272,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,FEDERATION DES CENTRES SOCIAUX,,,Subvention,730 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,LE LIEN Emmaus,,,Subvention,20 340,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,MDEF,,,Subvention,68 800,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Mission Locale Bourgogne Nivernaise,,,Subvention,36 927,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Mission Locale Nevers Sud Nivernais,,,Subvention,51 667,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Mission Locale Nivernais Morvan,,,Subvention,54 820,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,PAGODE - Le PRADO,,,Subvention,127 878,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,REGAIN ECO PLAST,,,Subvention,27 900,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Restaurants du Coeur de la Nièvre,,,Subvention,30 500,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,REUSSIR emplois & services,,,Subvention,22 200,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,S.I.A.E.P.  58,,,Subvention,7 290,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,SAHJ NIEVRE REGAIN,,,Subvention,33 375,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Secours Populaire Français,,,Subvention,35 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,TRAJECTOIRES,,,Subvention,14 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,TREMPLIN Homme & Patrimoine,,,Subvention,15 250,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Idées Interim c (agence Nevers),,,Subvention,14 760,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Agence Locale de l'Energie,,,Subvention,27 875,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Association Bourgogne Nature,,,Subvention,5 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CAUE,,,Subvention,286 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Conservatoire d'Espaces Naturels de Bourgogne,,,Subvention,8 498,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,nouvelles ruralités,,,Subvention,13 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,Société d'Histoire Naturelle d'Autun,,,Subvention,10 744,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,AEROPORT,,,Subvention,115 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,AGENCE DEPARTEMENTAL DU TOURISME,,,Subvention,934 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,ASSOC AGROPOLE MARAULT,,,Subvention,100 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,BATIFRANC,,,Subvention,SEM,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,CHAMBRE DES METIERS ET DE ARTISANAT,,,Subvention,55 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,GABNI,,,Subvention,41 000,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,NIEVRE AMENAGEMENT,,,Subvention,SEM,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,NIEVRE HABITAT,,,Subvention,ODHLM,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,SAEMS CNMC,,,Subvention,SEM,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,SEMPAT,,,Subvention,SEM,,,,,,,
Département de la Nièvre,225800010,DEP,2016-01-01,,SMETCN,,,Subvention,125 000,,,,,,,
