ANNEE;COLL_NOM;COLL_SIRET;COLL_TYPE;ACTE_DATE;ACTE_REF;ATTRIB_NOM;ATTRIB_SIRET;SUB_OBJ;SUB_MONTANT;Notification à la commission Européenne
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;ASSOCIATION DE GESTION ET D'ANIMATION DE LA MAISON DE LA GIBAUDERIE;47858355200000.0;Développement de l'action culturelle et plus particulièrement la diffusion de spectacles, d'expositions, de conférences et d'ateliers de pratiques amateurs.;3000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;ASSOCIATION DU CENTRE SOCIOCULTUREL DE LA BLAISERIE;32075384100000.0;Projet d'action culturelle de la Blaiserie incluant notamment la programmation des Soirées de la Montgolfière (chanson française, musiques actuelles et arts de la rue), l'accompagnement des publics au spectacle, l'accueil de compagnies en résidence, le festival A l'Ouest et les actions culturelles de proximité LezArts dans la Rue.;48000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0003;COURONNERIES DEMAIN;81439055500000.0;Développement de l'action culturelle menée sur le quartier des Couronneries et Poitiers : projets d'éducation à l'image, diffusion de spectacles vivants, pratiques artistiques amateurs, accueil de résidences d'artistes et soutien à la scène locale.;43500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0048;POITIERS MOUNDOU;49481873500000.0;Appui à la mise en service du cybercafé associatif installé au sein du complexe bureau de l'Association des amis de Moundou Poitiers.;3800.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0048;POITIERS MOUNDOU;49481873500000.0;Appui aux actions menées dans le domaine de la santé : soutien à l'Hôpital Régional de Moundou, aux centres et aux écoles de santé, organisation d'une mission d'évaluation sur place.;4550.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;CHOEUR DE FEMMES SIBYLLA;42141813800000.0;Echange culturel avec le choeur portugais Canticus Camerae, originaire de Figueira da Foz, localité située près de notre ville jumelle de Coimbra.;400.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;LE THEATRE DANS LA FORET;53507938800000.0;"Aide à la création ""Jackie"" et aux actions autour du projet : répétitions publiques, ateliers théâtraux.";2000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0049;TROUVER SONNETTE A SON PIED;45032466000000.0;Aide à l'organisation du festival Trouver sonnette à son pied qui se déroulera les 13 et 14 mai 2017 dans le quartier du Pont Joubert, dans des lieux parfois insolites et chez les habitants.;10000.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0077;OTAM' ONDULATION TRES AMICALE EN MOUVEMENT;48932287500000.0;Organisation de la Dance School Battle III : Promotion et découverte de la danse hip hop dans le cadre d'un échange convivial de jeunes danseurs de toute la France, en tant qu'ambassadeurs de leurs établissements scolaires.;1500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0106;"COMITE DE QUARTIER ""VIVRE AU BREUIL MINGOT""";49973963900000.0;Organisation de la fête annuelle de quartier pendant laquelle sont proposées des animations gratuites.;300.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0106;RAISONS D'AGIR;50443571000000.0;"Aide pour l'organisation de la douzième édition du festival RAISONS D'AGIR qui a lieu du
29 au 31 MARS 2017. De nombreux évènements se dérouleront en différents lieu de Poitiers (Espace Mendès France, Hôtel Fumé, Cinéma Le Dietrich, Café Le Plan B).
Le festival Raisons d'agir est organisé par l'association Raisons d'agir-Poitiers, en partenariat avec l'Espace Mendès France, le cinéma TAP Castille et le cinéma Le Dietrich, avec le soutien financier de la ville de Poitiers, de l'U.F.R Lettres et Langues et de l'U.F.R. S.H.A. de l'université de Poitiers. 

Le Festival Raisons d'Agir s'intéressera à la consommation. Il s'agira d'interroger la fabrique du consommateur et au-delà, de l'idée même de marchandise et de marchandisation de nos sociétés ; de réfléchir aux tensions, aux luttes qui traversent l'acte de consommation et de se questionner sur des façons alternatives de consommer mais aussi de produire.
Fidèle à sa formule, le festival associera le regard objectivant des chercheurs à celui, autrement subjectif, des artistes, des militants et des étudiants, afin de mener une réflexion collective sur les débats politiques contemporains et ainsi d'y prendre part. 
Il s'agira enfin de croiser, sur ces questions difficiles, les expériences individuelles et collectives, les savoirs issus des sciences sociales, le regard des cinéastes et la sensibilité des artistes.";1200.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0110;MISSION LOCALE D'INSERTION DU POITOU;37968222200000.0;Subvention pour abonder au Fonds d'Aide aux Jeunes. Grâce à ce fond, et après recours aux dispositifs de droit commun, des aides financières individuelles peuvent être attribuées aux bénéficiaires en fonction de leur projet et de leur situation personnelle.;11250.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2017-0111;ARTISANS COMMERCANTS AMIS DES ROCS;49823722100000.0;Aide à l'organisation de l'animation de la fête du quartier des Rocs;500.0;NON
2017;Ville de Poitiers;21860194600000.0;COM;2017-04-10;2016-0500;AMICALE CONDORCET;34336304000000.0;"Association hors critères.
Subvention pour la pratique omnisports de l'association qui comptabilise 534 adhérents et mène une action importante dans le quartier de Poitiers Ouest.";2350.0;NON
