nomAttribuant;idAttribuant;dateConvention;referenceDecision;idBeneficiaire;nomBeneficiaire;objet;montant;nature;conditionsVersement;datesPeriodeVersement;idRAE;notificationUE;pourcentageSubvention
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;77693902700046;ACCUEIL ET FAMILLE ASS;Espace rencontres est un lieu neutre, animé et encadré par des psychologues cliniciens, thérapeutes familiaux et travailleurs sociaux (à l’occasion de crises et/ou ruptures familiales graves, les espaces de rencontre sont là pour aider au maintien ou;2200.0;Aide en numéraire;Unique;;;non;1.0
COMMUNE DE ROQUES;21310458100011;2015-01-20;DELIB 04FIN du 20/01/2015;44137080600016;TENNIS ROQUES OLYMPIC CLUB;SUBVENTION 2015;2700.0;Aide en numéraire;Unique;2015-01-01_2015-12-31;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-05-23;;77695150100043;SOLIHA HAUTE GARONNE;Proposer aux ménages modestes en perte d’autonomie ou en situation de handicap d’être accompagnés dans leur démarche et de bénéficier de subventions de l’Etat et du Sicoval pour réaliser des travaux d’adaptation. Les objectifs d’intervention touchent;1875.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-06-20;;35288560200016;ASS RAMONVILLOISE POUR THEATRE OUVERT;"Organisation du festival de théâtre de rue de Ramonville en septembre 2016 et d'une ""saison en rue"" itinérante sur les communes du Sicoval.";26800.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-06-20;;37929542100034;CONVIVENCIA;"Organisation du festival ""Convivencia"" qui propose des concerts de musique du monde sur le Canal du midi. Quatre étapes sont organisées sur le Sicoval en 2016 (Ramonville, Castanet, Montgiscard, Ayguesvives).";12000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-06-20;;41456358500028;LES TOILES DE L'HERS;Association regroupant les trois cinémas art et essai du territoire : Studio 7 à Auzielle, Cinéma l'Autan à Ramonville et ciné 113 à Castanet. La subvention est une aide au fonctionnement et à la réalisation de festivals à destination des scolaires (;31000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-10-24;;;;Participation au cofinancement global de l'Agence Française de Développement via l'association tel que prévu dans la convention cadre 2013-2015 signée entre le Sicoval, Gandon, Ndiébène Gandiol et l'association le partenariat;6000.0;Aide en numéraire;Unique;;;non;1.0
COMMUNAUTE D AGGLOMERATION DU SICOVAL;24310063300011;2017-11-28;;39050553500018;OFFICE CENTRAL DE COOPERATION A L'ECOLE;Projets pédagogiques en lien avec l'environnement et plus particulièrement la gestion et la prévention des déchets, le cycle de l'eau et les énergies au sein des écoles maternelles et primaires du Sicoval ainsi que les centres de loisirs;1050.35;Aide en numéraire;Unique;;;non;1.0
COMMUNE DE ROQUES;21310458100011;2017-04-13;DELIB 06FIN du 13-04-2017;81752622100012;ASSOCIATION COMMUNALE DE CHASSE AGREE DE ROQUES SUR GARONNE;SUBVENTION 2017;400.0;Aide en numéraire;;2017-01-01_2017-12-31;;non;1.0
COMMUNE DE ROQUES;21310458100011;2015-01-20;DELIB 04FIN du 20/01/2015;81752622100012;ASSOCIATION COMMUNALE DE CHASSE AGREE DE ROQUES SUR GARONNE;SUBVENTION 2015;550.0;Aide en numéraire;Unique;2015-01-01_2015-12-31;;non;1.0
